Name,Grade Level,PhysicsScore,BiologyScore,MathematicsScore,EnglishScore,SportsParticipation,SportsAchievements,ExtracurricularActivities,LeadershipRole,CareerAspiration,STEMPathway
Paul Simiyu, 11,93,99,63,95,1,County Level,Art Club,Class Representative,Athlete,1
Sarah Doe, 11,79,82,,75,0,National Level,Science Club,,Lawyer,0
Joseph Muthama, 12,58,,65,,1,0ne,Music Club,Club Leader,Athlete,1
Francis Juma, 6,74,,87,86,0,County Level,Debate Club,,Lawyer,0
Samuel Oduor, 10,59,,60,90,0,National Level,Art Club,Class Representative,Surgeon,1
Tom Nyambura, 7,100,61,77,94,0,0ne,Debate Club,Club Leader,Musician,1
Lilian Kirui, 12,82,81,80,,0,County Level,Science Club,Class Representative,Artist,1
Lilian Davis, 9,77,90,66,86,0,County Level,Debate Club,Class Representative,Surgeon,1
Rose Koome, 12,75,77,95,75,0,0ne,Art Club,,Pharmacist,0
Eliud Chege, 8,80,,99,77,0,County Level,Drama Club,Class Representative,Athlete,0
Eliud Nyambura, 10,96,68,90,90,0,School Level,Art Club,Club Leader,Pilot,0
David Mutiso, 8,,82,74,80,0,National Level,Music Club,,Surgeon,1
Samuel Achieng, 6,,,,69,0,0ne,Debate Club,Class Representative,Pharmacist,0
Grace Otieno, 8,63,91,63,78,0,0ne,0ne,Club Leader,Accountant,0
Dennis Atieno, 8,97,66,,67,1,0ne,Debate Club,Club Leader,Lawyer,0
David Kiprop, 11,50,70,76,85,1,County Level,0ne,,Teacher,0
Esther Njoroge, 7,76,94,,99,0,0ne,0ne,Class Representative,Musician,1
Eliud Wairimu, 6,87,77,70,59,0,National Level,Drama Club,Club Leader,Data Scientist,0
Hannah Rono, 10,,71,70,54,0,National Level,0ne,Class Representative,Athlete,1
David Mutiso, 8,53,,94,99,0,0ne,Music Club,Class Representative,Athlete,1
John Kariuki, 8,57,83,64,63,0,County Level,Music Club,Class Representative,Engineer,0
Faith Simiyu, 8,88,97,73,70,1,National Level,Science Club,Class Representative,Musician,1
Andrew Wairimu, 7,73,87,59,62,1,County Level,0ne,Class Representative,Doctor,1
Ann Otieno, 12,57,74,94,80,0,County Level,Drama Club,Class Representative,Pilot,1
Alex Kamau, 9,98,96,82,62,0,0ne,0ne,,Musician,1
Dennis Otieno, 8,89,59,72,76,0,National Level,0ne,,Pilot,0
Joseph Kibet, 11,,79,58,66,0,School Level,Drama Club,,Doctor,1
Esther Nyambura, 7,75,90,78,98,1,National Level,Science Club,Class Representative,Artist,1
Ann Mutiso, 9,66,87,72,66,0,0ne,Science Club,,Pilot,0
John Mwikali, 8,70,54,85,79,0,0ne,Debate Club,,Data Scientist,1
Samuel Njoroge, 7,53,,76,75,0,National Level,Debate Club,Club Leader,Doctor,0
Lucy Kilonzo, 8,92,88,,58,0,School Level,Music Club,Class Representative,Accountant,0
Joseph Kilonzo, 8,69,98,58,82,0,School Level,Debate Club,Club Leader,Accountant,1
John Kirui, 10,87,96,72,99,0,National Level,0ne,,Teacher,0
Martin Kiprop, 9,70,76,83,64,1,National Level,Music Club,,Surgeon,1
Peter Kilonzo, 7,61,63,59,58,1,National Level,Art Club,Class Representative,Pharmacist,0
Peter Kigen, 7,80,71,85,93,0,0ne,0ne,,Teacher,0
Irene Kigen, 9,,98,,,1,National Level,Debate Club,Class Representative,Doctor,0
James Njoroge, 6,,82,57,50,1,National Level,Art Club,Class Representative,Teacher,1
Rose Juma, 8,87,69,99,74,1,National Level,Art Club,Club Leader,Lawyer,1
Grace Kirui, 12,88,73,78,53,1,National Level,Debate Club,Club Leader,Pilot,1
Faith Mutiso, 6,73,59,60,72,0,School Level,Music Club,,Surgeon,0
Nelson Otieno, 6,94,84,,66,1,0ne,Art Club,,Lawyer,0
James Kirui, 8,58,,80,87,1,0ne,Debate Club,Class Representative,Engineer,0
Kennedy Simiyu, 7,90,74,54,67,0,School Level,Science Club,Class Representative,Lawyer,0
Rose Nyakundi, 6,93,82,81,52,1,0ne,Art Club,Class Representative,Musician,0
Grace Davis, 6,59,100,93,73,1,County Level,Drama Club,,Athlete,1
Esther Njoroge, 12,,57,58,98,0,School Level,0ne,Class Representative,Artist,1
Francis Simiyu, 8,50,,85,,1,0ne,0ne,Class Representative,Accountant,1
Mercy Wangechi, 6,65,79,99,58,0,National Level,Science Club,,Doctor,0
Fredrick Kirui, 10,92,100,68,52,0,0ne,Debate Club,Class Representative,Data Scientist,1
Charles Wambui, 10,70,65,63,91,1,School Level,Science Club,Club Leader,Teacher,0
Agnes Kamau, 9,73,82,94,,0,0ne,Art Club,Class Representative,Data Scientist,0
Hannah Kamau, 8,94,73,75,90,1,School Level,Debate Club,Class Representative,Artist,0
Eliud Mwende, 9,79,72,64,86,0,0ne,Music Club,,Musician,0
Joseph Chebet, 11,96,,,,1,National Level,Debate Club,Class Representative,Pilot,0
Hannah Chirchir, 8,83,85,85,88,1,0ne,Art Club,,Surgeon,1
Rose Otieno, 8,91,53,58,62,1,0ne,Art Club,Club Leader,Data Scientist,1
Rose Wanjiru, 7,60,52,50,,1,National Level,Music Club,Club Leader,Accountant,0
Ann Simiyu, 6,87,94,54,51,1,0ne,0ne,Club Leader,Pilot,1
Eliud Ngoya, 12,,60,90,75,0,0ne,Science Club,Class Representative,Data Scientist,0
John Mwikali, 11,78,50,54,51,0,0ne,Art Club,,Pharmacist,1
Rose Ochieng, 10,,,96,,1,School Level,Art Club,,Doctor,1
James Njoroge, 11,56,95,73,96,0,0ne,Debate Club,Class Representative,Engineer,1
Esther Oduor, 11,98,55,85,90,1,County Level,Drama Club,,Pilot,1
Dorcas Simiyu, 10,95,60,76,53,1,School Level,Music Club,Class Representative,Teacher,1
Stella Wangechi, 8,88,63,85,,0,County Level,Debate Club,Club Leader,Data Scientist,0
Brenda Ngoya, 6,94,91,75,92,0,0ne,Debate Club,Club Leader,Athlete,0
Tom Nduati, 10,88,67,,68,1,0ne,Art Club,,Accountant,1
Samuel Wairimu, 7,86,51,63,80,0,County Level,Drama Club,,Pharmacist,0
Henry Otieno, 12,53,,99,51,0,School Level,0ne,Class Representative,Lawyer,1
Hannah Koome, 9,61,57,70,,1,County Level,Science Club,Club Leader,Doctor,1
Nelson Wambui, 11,96,64,52,94,1,County Level,Science Club,Class Representative,Musician,0
Linet Wairimu, 7,81,64,89,95,1,National Level,Drama Club,Class Representative,Data Scientist,0
Susan Wairimu, 11,72,84,,62,1,National Level,Science Club,Class Representative,Engineer,0
Brenda Chirchir, 10,95,68,77,84,0,County Level,0ne,Club Leader,Engineer,1
John Rono, 10,91,,86,51,0,0ne,Music Club,,Accountant,1
David Atieno, 6,91,88,86,82,1,National Level,Science Club,Club Leader,Data Scientist,0
Esther Mwikali, 10,51,,83,66,0,National Level,Debate Club,Club Leader,Engineer,0
Stella Mutiso, 11,73,59,98,90,1,National Level,Debate Club,,Doctor,1
Ann Otieno, 6,71,90,80,72,0,County Level,Music Club,,Athlete,1
Esther Otieno, 12,60,72,69,63,1,County Level,Science Club,Class Representative,Lawyer,1
Agnes Mutua, 12,63,90,61,88,1,School Level,Debate Club,,Artist,1
Rose Nduati, 11,68,57,74,,1,School Level,Music Club,Club Leader,Musician,1
Henry Juma, 10,86,93,100,83,1,National Level,Science Club,Club Leader,Doctor,0
Irene Wambui, 11,96,77,90,,1,County Level,Science Club,Club Leader,Musician,1
David Doe, 8,,71,65,,0,National Level,0ne,,Teacher,0
Andrew Kariuki, 12,69,51,100,77,1,School Level,Science Club,Class Representative,Athlete,1
James Kariuki, 6,59,58,87,67,0,0ne,Drama Club,Class Representative,Surgeon,1
Irene Juma, 8,84,50,56,94,0,0ne,0ne,Club Leader,Engineer,0
Susan Wangechi, 6,84,79,98,60,0,School Level,Science Club,,Musician,1
Francis Otieno, 12,92,86,82,55,1,County Level,Drama Club,Class Representative,Artist,0
Andrew Koome, 11,60,76,88,82,1,School Level,0ne,,Pharmacist,1
Francis Kigen, 7,80,75,73,97,0,School Level,Science Club,Club Leader,Pilot,1
John Wanjiru, 6,53,65,51,84,1,0ne,Music Club,,Teacher,0
Rose Oduor, 7,99,65,65,87,0,National Level,Drama Club,Club Leader,Artist,1
David Kirui, 11,61,75,90,81,0,County Level,0ne,Class Representative,Artist,1
Grace Kibera, 6,89,79,75,77,0,0ne,Debate Club,Club Leader,Doctor,0
Irene Chirchir, 9,90,71,64,99,1,School Level,Music Club,Class Representative,Artist,1
Martin Chege, 6,98,86,82,62,0,0ne,Music Club,Class Representative,Pilot,0
Elijah Mwikali, 6,67,,55,67,1,0ne,Music Club,,Athlete,0
Samuel Makori, 10,65,,52,93,0,0ne,Music Club,,Pharmacist,1
Francis Wambui, 11,74,77,96,62,0,National Level,Music Club,Club Leader,Surgeon,1
Stephen Wambui, 8,80,56,78,80,0,National Level,Drama Club,,Lawyer,1
Grace Kibet, 8,78,92,54,55,1,County Level,Science Club,Club Leader,Engineer,0
Mary Otieno, 6,86,72,84,,1,School Level,0ne,Club Leader,Pharmacist,0
Rose Juma, 11,70,78,97,87,1,School Level,Art Club,,Artist,1
Rose Davis, 9,50,87,95,50,1,School Level,Science Club,Club Leader,Athlete,1
Mary Nyakundi, 8,94,100,50,59,0,National Level,0ne,Club Leader,Athlete,0
Mary Kiprop, 6,78,70,64,74,1,County Level,Music Club,,Accountant,0
Kevin Kilonzo, 12,69,57,89,82,0,0ne,Debate Club,,Doctor,0
Francis Ngoya, 9,62,93,56,66,0,National Level,Music Club,Club Leader,Data Scientist,1
Francis Kiprop, 8,,76,63,97,0,County Level,0ne,Class Representative,Accountant,0
Eliud Wangechi, 6,94,52,100,95,0,County Level,Music Club,Class Representative,Musician,0
Ian Makori, 10,,,76,95,1,0ne,Art Club,,Data Scientist,1
Ann Wairimu, 9,57,73,83,,0,0ne,Music Club,,Lawyer,0
David Kamau, 11,74,73,100,56,0,0ne,Art Club,,Lawyer,0
Ann Wamuyu, 10,100,51,81,67,0,County Level,Science Club,,Pilot,1
Rose Mwende, 6,,62,96,90,0,County Level,Art Club,Class Representative,Athlete,1
Faith Kilonzo, 11,58,68,,80,1,County Level,0ne,Class Representative,Pharmacist,1
Ann Koome, 8,98,54,96,83,1,National Level,Science Club,,Engineer,0
Ian Otieno, 12,,59,52,85,0,County Level,Debate Club,Class Representative,Teacher,0
Agnes Juma, 10,,92,,56,0,School Level,Art Club,Club Leader,Lawyer,0
Peter Nyakundi, 9,65,97,83,75,0,School Level,Art Club,Class Representative,Doctor,0
Grace Kibera, 9,76,77,81,52,1,0ne,0ne,Club Leader,Data Scientist,0
Alex Otieno, 6,,,53,99,1,County Level,Science Club,Class Representative,Doctor,1
Faith Nyambura, 9,84,,53,,1,County Level,Science Club,Club Leader,Data Scientist,0
Stephen Mutua, 8,52,50,,61,0,National Level,Debate Club,Club Leader,Musician,0
Ann Kirui, 8,99,75,72,63,0,National Level,0ne,Club Leader,Teacher,1
Alex Wangechi, 9,98,55,82,62,0,County Level,Science Club,Class Representative,Pilot,1
Samuel Oduor, 10,88,87,69,81,0,National Level,0ne,,Surgeon,0
Henry Juma, 9,55,62,,76,0,School Level,Art Club,Club Leader,Data Scientist,1
Paul Otieno, 10,98,72,100,58,0,0ne,Music Club,,Musician,0
Grace Wamuyu, 11,58,55,66,76,1,National Level,Art Club,,Pilot,1
Joseph Wanjiku, 9,78,68,,96,1,School Level,Debate Club,Club Leader,Accountant,1
Mary Nyakundi, 10,52,,57,58,0,National Level,Music Club,Class Representative,Surgeon,1
Faith Nyakundi, 11,85,,71,84,1,0ne,0ne,,Data Scientist,1
Esther Mutiso, 11,75,57,83,69,1,National Level,Art Club,Class Representative,Surgeon,0
Mercy Kirui, 10,100,73,,70,1,County Level,Music Club,,Musician,0
Stella Kilonzo, 10,67,73,62,53,1,School Level,Drama Club,Club Leader,Surgeon,1
Stella Kamau, 8,77,84,,,1,County Level,Science Club,,Athlete,0
Dorcas Njoroge, 11,96,64,70,63,1,County Level,Art Club,Club Leader,Surgeon,0
Andrew Mutua, 12,79,87,98,,1,County Level,Music Club,,Engineer,1
Dennis Oduor, 6,72,53,94,79,1,National Level,Music Club,,Musician,1
Andrew Nyakundi, 12,54,65,76,68,1,0ne,0ne,Club Leader,Accountant,0
Hannah Atieno, 12,60,67,77,89,1,County Level,Science Club,,Artist,1
Dennis Otieno, 8,85,82,51,92,1,School Level,Debate Club,Class Representative,Engineer,0
Francis Mwikali, 9,91,96,94,57,1,National Level,Drama Club,Club Leader,Engineer,1
David Kiplangat, 8,95,94,72,80,0,School Level,Science Club,Club Leader,Pilot,1
Grace Oduor, 9,75,87,66,99,0,County Level,Art Club,Club Leader,Teacher,0
Mercy Chebet, 7,82,57,61,82,1,School Level,Music Club,,Data Scientist,1
Ian Njoroge, 10,71,53,,55,1,School Level,Drama Club,Club Leader,Musician,0
Sarah Kamau, 10,53,56,58,78,0,School Level,Art Club,Class Representative,Lawyer,0
Beatrice Mutua, 6,93,50,75,52,0,School Level,0ne,Class Representative,Artist,1
Faith Mwikali, 9,69,62,69,64,0,National Level,Music Club,,Athlete,0
Lilian Kimeu, 10,87,65,50,77,1,County Level,Science Club,Class Representative,Musician,0
Nelson Kibera, 6,51,63,69,82,1,National Level,Science Club,,Doctor,0
John Mutiso, 6,69,68,56,100,0,0ne,0ne,Club Leader,Pilot,1
Andrew Nyakundi, 11,,52,55,98,0,County Level,Music Club,Club Leader,Doctor,0
Eliud Ngoya, 11,95,59,,77,1,National Level,Drama Club,,Teacher,1
David Kariuki, 6,63,,,83,1,School Level,Drama Club,Club Leader,Engineer,0
Kevin Oduor, 9,58,100,,62,1,School Level,Music Club,Club Leader,Engineer,1
Susan Chege, 7,90,78,73,78,1,National Level,0ne,,Lawyer,0
Alex Davis, 11,92,77,52,61,0,County Level,Science Club,Class Representative,Lawyer,1
Kevin Wairimu, 12,64,90,56,79,0,National Level,Debate Club,Class Representative,Engineer,0
Esther Achieng, 8,93,92,87,95,1,0ne,0ne,,Data Scientist,0
Joseph Rono, 8,,74,82,52,0,County Level,0ne,Club Leader,Musician,0
Paul Chege, 6,64,98,,,1,0ne,Art Club,Class Representative,Data Scientist,0
Jacinta Njoroge, 8,81,84,,74,1,0ne,Drama Club,Club Leader,Surgeon,1
Sarah Nyakundi, 11,,73,83,66,0,0ne,0ne,,Teacher,0
Susan Kariuki, 10,55,63,,81,1,0ne,Drama Club,Class Representative,Doctor,0
Kennedy Koome, 6,64,83,88,,0,School Level,Science Club,Club Leader,Athlete,1
Esther Muthama, 10,88,74,96,76,0,County Level,Music Club,,Surgeon,0
John Doe, 7,60,77,59,94,0,0ne,0ne,Club Leader,Musician,0
Joseph Akinyi, 12,60,96,84,64,1,School Level,Debate Club,,Pilot,0
Rose Simiyu, 10,88,76,93,82,1,County Level,Art Club,Club Leader,Surgeon,1
Alex Wamuyu, 6,89,86,77,88,0,School Level,Art Club,Class Representative,Artist,1
Faith Davis, 11,99,82,79,77,0,National Level,Art Club,,Pharmacist,1
Faith Makori, 11,89,61,,74,1,National Level,Drama Club,,Musician,0
Stephen Onyango, 6,61,74,62,57,0,0ne,Science Club,,Artist,1
Fredrick Ochieng, 6,91,69,58,60,0,0ne,Drama Club,,Doctor,0
Faith Kiplangat, 9,,90,74,95,0,National Level,Music Club,,Surgeon,0
John Wangechi, 9,72,68,80,60,1,0ne,Debate Club,Class Representative,Pharmacist,1
Paul Kiprop, 6,93,85,95,77,0,School Level,Science Club,,Teacher,0
Alex Achieng, 7,,65,51,94,1,School Level,Music Club,Class Representative,Lawyer,1
Mercy Chege, 8,86,88,89,62,0,County Level,Debate Club,,Surgeon,0
Ann Simiyu, 6,66,81,94,66,0,County Level,Drama Club,Class Representative,Accountant,1
Esther Wanjiru, 9,,97,53,58,1,School Level,Debate Club,Class Representative,Artist,1
Irene Oduor, 12,,,70,66,1,School Level,Debate Club,Class Representative,Artist,1
Jacinta Ochieng, 11,60,58,,99,0,School Level,Art Club,,Engineer,1
Sarah Onyango, 6,53,62,95,,1,County Level,Music Club,Class Representative,Athlete,1
Samuel Achieng, 12,52,90,83,96,1,County Level,Debate Club,Class Representative,Artist,0
John Kiplangat, 11,74,100,81,84,0,School Level,Drama Club,Class Representative,Surgeon,1
Henry Kiplangat, 9,74,,57,69,0,School Level,Music Club,Class Representative,Data Scientist,0
Lucy Juma, 7,61,82,88,58,1,0ne,Drama Club,Club Leader,Pilot,0
Mercy Kamau, 8,90,74,78,82,0,County Level,Drama Club,,Surgeon,1
Eliud Wangechi, 11,62,57,,57,1,National Level,Science Club,Class Representative,Pharmacist,0
Stella Otieno, 10,66,63,60,57,1,0ne,0ne,,Data Scientist,1
Susan Kimeu, 7,,82,73,79,0,School Level,Science Club,Club Leader,Teacher,1
Elijah Kiplangat, 9,59,88,78,68,0,School Level,Art Club,Club Leader,Teacher,1
Elijah Otieno, 10,,81,,70,0,County Level,Drama Club,Club Leader,Engineer,0
Linet Mwikali, 12,72,92,81,84,0,National Level,Debate Club,Club Leader,Athlete,0
Stella Rono, 8,53,73,94,62,1,School Level,Science Club,Club Leader,Data Scientist,1
Ann Mutiso, 10,55,,76,85,1,School Level,Drama Club,Class Representative,Musician,0
Brenda Mutiso, 6,61,76,88,96,0,0ne,Drama Club,,Artist,0
Grace Onyango, 8,73,,86,77,0,0ne,Art Club,,Teacher,1
Ann Achieng, 8,76,86,65,57,1,School Level,Debate Club,Club Leader,Data Scientist,1
Grace Makori, 9,72,71,86,85,1,0ne,Art Club,,Accountant,1
Samuel Kibera, 11,91,88,96,67,0,0ne,Music Club,Club Leader,Surgeon,1
Dennis Otieno, 6,97,81,,72,1,National Level,Drama Club,Club Leader,Surgeon,0
Martin Kibera, 7,91,93,52,54,0,County Level,Art Club,,Pharmacist,1
Henry Otieno, 8,97,67,76,71,0,National Level,0ne,Class Representative,Artist,0
Andrew Nduati, 6,91,80,70,71,0,School Level,Drama Club,,Pilot,0
Linet Davis, 11,80,52,98,56,0,County Level,0ne,Club Leader,Pilot,1
Agnes Kamau, 8,82,56,53,78,1,School Level,0ne,Club Leader,Accountant,1
Mercy Rono, 6,,66,91,94,0,School Level,Drama Club,,Pharmacist,1
Faith Kilonzo, 7,63,58,56,82,0,0ne,Art Club,Class Representative,Teacher,1
Stella Wangechi, 8,85,78,99,76,1,0ne,0ne,Club Leader,Teacher,0
Fredrick Onyango, 8,81,85,93,67,0,School Level,Debate Club,Club Leader,Data Scientist,0
Jacinta Kimeu, 8,98,,62,61,0,National Level,0ne,Club Leader,Accountant,1
Elijah Wanjiru, 6,79,53,54,53,0,School Level,Debate Club,Class Representative,Lawyer,1
Martin Kirui, 7,93,,93,92,0,National Level,0ne,Club Leader,Musician,1
Tom Mwikali, 10,87,96,99,65,0,School Level,Debate Club,Club Leader,Accountant,1
Lilian Otieno, 8,57,87,81,76,0,National Level,Art Club,Class Representative,Accountant,0
Lilian Muthama, 8,89,69,96,93,1,0ne,Drama Club,,Athlete,0
Agnes Mutua, 8,79,72,62,86,0,School Level,Science Club,Class Representative,Surgeon,1
Brenda Muthama, 9,71,62,72,92,0,School Level,Drama Club,Class Representative,Pilot,1
Lucy Wamuyu, 6,90,88,97,71,1,School Level,Debate Club,,Musician,1
David Juma, 11,86,69,99,74,1,School Level,0ne,Class Representative,Surgeon,1
Rose Kimeu, 9,92,74,,79,0,National Level,Science Club,Club Leader,Accountant,0
Esther Mutua, 7,,,64,89,1,National Level,Music Club,Club Leader,Data Scientist,1
Grace Kibet, 11,67,69,90,80,1,0ne,Music Club,Class Representative,Doctor,1
David Kibera, 12,96,82,92,65,1,National Level,0ne,Class Representative,Surgeon,1
Faith Chebet, 7,96,53,85,82,0,School Level,Music Club,Class Representative,Musician,0
Samuel Njoroge, 12,68,60,63,71,0,School Level,Art Club,Class Representative,Accountant,1
Samuel Wanjiku, 10,50,74,66,95,1,National Level,Drama Club,,Pharmacist,1
Charles Koome, 7,94,,66,75,1,National Level,Art Club,Club Leader,Doctor,0
Fredrick Chirchir, 11,99,50,90,71,1,County Level,0ne,Class Representative,Doctor,0
Agnes Wangechi, 9,52,57,51,73,1,0ne,Debate Club,,Athlete,0
Ann Atieno, 11,53,53,51,78,0,National Level,0ne,Class Representative,Musician,0
Peter Ngoya, 10,91,72,82,80,0,County Level,Art Club,Club Leader,Pilot,1
Lucy Davis, 8,95,50,63,62,1,County Level,Art Club,Club Leader,Artist,0
Tom Otieno, 12,65,97,95,91,0,National Level,0ne,Class Representative,Accountant,1
Dorcas Mutiso, 8,73,83,66,77,0,County Level,Music Club,Class Representative,Musician,1
Ann Davis, 9,62,98,91,68,1,National Level,Science Club,Class Representative,Engineer,1
Tom Oduor, 6,92,58,76,63,1,National Level,Art Club,Club Leader,Pilot,0
Andrew Chirchir, 10,,58,83,90,0,School Level,Science Club,Class Representative,Pharmacist,1
Beatrice Ngoya, 8,60,,96,58,0,National Level,0ne,Class Representative,Doctor,1
Beatrice Kirui, 7,67,94,79,94,0,County Level,Drama Club,Class Representative,Accountant,1
Brenda Rono, 7,80,99,78,84,1,County Level,Debate Club,Class Representative,Athlete,0
Linet Wanjiku, 9,59,82,,76,0,National Level,Music Club,,Artist,1
Samuel Rono, 12,69,89,96,82,1,0ne,Science Club,Club Leader,Pharmacist,1
Sarah Kimeu, 6,53,86,88,75,0,0ne,Science Club,Club Leader,Musician,1
Lilian Kibera, 6,59,79,60,67,1,County Level,Art Club,,Teacher,1
Brenda Nduati, 11,56,79,90,,0,School Level,Debate Club,Class Representative,Lawyer,1
Hannah Davis, 7,76,71,82,87,0,County Level,Music Club,Club Leader,Doctor,1
Ann Mutiso, 12,55,86,85,,1,National Level,Debate Club,Club Leader,Musician,1
Peter Achieng, 8,53,,89,51,1,School Level,Music Club,Club Leader,Pharmacist,1
Samuel Otieno, 6,63,73,99,65,1,National Level,0ne,Class Representative,Pharmacist,1
Lilian Nduati, 7,94,54,87,83,1,School Level,0ne,Class Representative,Data Scientist,1
Irene Njoroge, 12,89,96,92,79,1,0ne,Music Club,Class Representative,Athlete,0
Elijah Muthama, 8,60,91,64,50,1,School Level,0ne,Club Leader,Surgeon,1
James Wairimu, 10,50,,92,80,1,National Level,Debate Club,,Data Scientist,0
John Kigen, 6,61,50,53,55,0,School Level,Debate Club,,Doctor,1
Dorcas Doe, 11,58,78,66,72,1,National Level,0ne,Club Leader,Surgeon,1
Jacinta Achieng, 8,57,77,78,90,1,0ne,Drama Club,Class Representative,Data Scientist,1
Jacinta Kiprop, 6,82,69,,66,0,0ne,Art Club,Class Representative,Surgeon,1
Esther Mwikali, 11,70,,58,,1,0ne,0ne,,Accountant,0
Lilian Ochieng, 9,65,60,88,93,0,School Level,Art Club,,Artist,0
Fredrick Onyango, 12,70,90,79,64,0,County Level,Art Club,Club Leader,Lawyer,0
Jacinta Otieno, 6,76,59,84,85,1,County Level,Art Club,,Teacher,0
Mercy Chirchir, 7,65,88,55,95,0,School Level,Debate Club,Class Representative,Teacher,1
Kevin Wamuyu, 11,82,88,,73,0,County Level,Debate Club,Club Leader,Artist,0
Faith Juma, 12,64,73,92,68,1,School Level,Art Club,Class Representative,Artist,0
Linet Chirchir, 12,51,51,52,53,0,0ne,Drama Club,,Engineer,1
Dennis Mwikali, 8,,91,,72,0,National Level,Art Club,Class Representative,Pharmacist,0
Agnes Kibet, 12,66,,67,61,1,County Level,Science Club,Class Representative,Pilot,1
Stephen Kirui, 12,90,61,72,87,1,National Level,Debate Club,Class Representative,Pilot,0
Stephen Wairimu, 10,67,58,94,76,0,0ne,0ne,Club Leader,Lawyer,0
Tom Kirui, 12,77,51,92,74,1,National Level,0ne,,Athlete,0
Ann Kiprop, 9,76,53,74,50,1,School Level,Art Club,Club Leader,Surgeon,0
Brenda Doe, 12,74,65,55,53,1,County Level,0ne,,Accountant,0
Dorcas Kimeu, 8,88,94,96,57,0,0ne,0ne,Club Leader,Data Scientist,0
Mercy Ochieng, 6,65,58,73,91,1,County Level,Art Club,Club Leader,Pharmacist,1
Faith Nyambura, 6,89,,88,74,0,County Level,Art Club,Class Representative,Athlete,0
Francis Onyango, 6,69,,,78,0,0ne,Art Club,Class Representative,Engineer,0
Brenda Davis, 8,67,68,84,64,0,County Level,0ne,Club Leader,Lawyer,1
Linet Doe, 6,77,64,88,88,1,National Level,Debate Club,,Accountant,0
Susan Wamuyu, 12,98,94,94,88,1,School Level,0ne,Club Leader,Teacher,1
Lucy Otieno, 7,90,70,95,85,0,School Level,Music Club,Club Leader,Athlete,1
Ann Achieng, 10,75,59,84,86,0,National Level,Art Club,Club Leader,Lawyer,0
James Davis, 6,73,61,95,57,1,0ne,0ne,Club Leader,Surgeon,1
Lilian Chege, 7,71,61,61,91,1,0ne,Art Club,Club Leader,Data Scientist,1
Rose Onyango, 12,71,53,70,59,0,County Level,Music Club,,Lawyer,0
Hannah Mwende, 11,99,76,57,69,1,0ne,Debate Club,Club Leader,Doctor,1
David Kariuki, 6,,56,51,88,1,National Level,Drama Club,,Athlete,0
Samuel Makori, 6,98,68,78,98,0,National Level,0ne,Class Representative,Doctor,1
Samuel Mwikali, 11,,89,52,54,0,County Level,0ne,Club Leader,Athlete,0
Lilian Wanjiru, 11,51,93,64,75,0,0ne,Debate Club,,Lawyer,0
Mercy Wanjiku, 10,83,76,50,57,1,0ne,Drama Club,,Pilot,0
Linet Onyango, 10,71,76,51,88,1,National Level,Science Club,Class Representative,Pilot,0
Faith Davis, 6,82,94,96,100,1,School Level,Art Club,Club Leader,Surgeon,0
Francis Kibet, 10,52,78,96,,0,School Level,Debate Club,,Doctor,1
Mary Kibera, 9,63,55,90,81,1,School Level,Science Club,Club Leader,Surgeon,0
Martin Kirui, 6,73,69,59,57,0,National Level,Art Club,Class Representative,Surgeon,0
Grace Mwende, 8,69,96,72,,1,0ne,0ne,,Athlete,1
David Mwende, 11,100,95,72,96,0,0ne,Music Club,,Lawyer,1
Ann Davis, 8,89,86,62,,1,County Level,Drama Club,,Engineer,1
Charles Muthama, 6,78,68,,80,0,County Level,0ne,,Data Scientist,0
Brenda Wamuyu, 8,51,76,96,,0,County Level,Drama Club,,Musician,0
James Simiyu, 12,52,54,62,51,0,School Level,Music Club,,Surgeon,1
Beatrice Otieno, 9,65,63,85,54,1,County Level,Debate Club,Class Representative,Musician,0
Alex Rono, 11,66,71,59,61,1,National Level,Science Club,Club Leader,Accountant,0
Dorcas Kibera, 12,62,78,53,75,1,School Level,Drama Club,,Pilot,1
Francis Chirchir, 10,66,66,,90,1,0ne,Science Club,,Teacher,0
Stella Wairimu, 8,76,,79,96,0,County Level,Art Club,Club Leader,Accountant,0
John Simiyu, 10,82,75,52,,0,0ne,Science Club,,Artist,0
Andrew Kibera, 10,99,55,,50,1,School Level,Debate Club,,Accountant,0
Joseph Wambui, 10,95,52,72,92,0,National Level,Art Club,Club Leader,Artist,1
Hannah Wanjiku, 11,98,89,90,75,1,County Level,0ne,,Accountant,0
Brenda Akinyi, 9,76,89,,95,0,County Level,Debate Club,,Doctor,1
Dorcas Koome, 11,83,71,99,65,0,County Level,Music Club,Club Leader,Pharmacist,1
Sarah Wambui, 9,,52,,85,1,0ne,0ne,Club Leader,Doctor,1
Nelson Kiprop, 9,68,73,68,52,0,0ne,Debate Club,Club Leader,Accountant,0
Linet Akinyi, 8,,53,98,61,0,National Level,Music Club,Class Representative,Teacher,0
Eliud Wanjiku, 8,95,60,87,50,0,School Level,Music Club,Class Representative,Doctor,1
Henry Kirui, 6,86,74,73,,0,School Level,Science Club,Club Leader,Accountant,1
Rose Chege, 11,83,75,82,,0,National Level,Science Club,,Pilot,1
Andrew Wambui, 8,55,67,69,92,0,0ne,Music Club,Club Leader,Musician,1
Martin Davis, 6,87,62,93,66,0,School Level,Science Club,Club Leader,Accountant,0
Henry Ngoya, 11,93,90,92,99,1,National Level,0ne,Club Leader,Artist,0
